,Ngành,Total-M,YOY,Total-YOY,YTD-YOY,Date,Month,PreMonth,MOM
4428,Sản phẩm khác từ dầu mỏ,100,,451.154838,5.540669707144218,2015-05-29,2015-05,2015-04,0.0
4429,Hóa chất,320,,1316.49963,4.330146233627815,2015-05-29,2015-05,2015-04,0.0
4430,Sản phẩm hoá chất,300,,1329.421562,8.920021924014193,2015-05-29,2015-05,2015-04,0.0
4431,Tân dược,200,,835.1396589999999,5.6518099128063,2015-05-29,2015-05,2015-04,-4.761904761904773
4432,Phân bón,124.94093344426838,,516.8831764442684,13.046845349878026,2015-05-29,2015-05,2015-04,15.487102469134314
4433,Thuốc trừ sâu,75,,335.450837,-1.0696268046855266,2015-05-29,2015-05,2015-04,0.0
4434,Chất dẻo,507.2328590394858,,2269.514000039486,-7.844873633563537,2015-05-29,2015-05,2015-04,-3.681399406633602
4435,Sản phẩm chất dẻo,300,,1441.9872679999999,21.52503790790861,2015-05-29,2015-05,2015-04,0.0
4436,Cao su,60,,267.483737,7.633049952284281,2015-05-29,2015-05,2015-04,-3.1051166335906544
4437,Gỗ và sản phẩm gỗ,200,,902.1510999999999,-12.50822597694065,2015-05-29,2015-05,2015-04,-13.043478260869563
4438,Giấy các loại,122.07392060272385,,553.0035286027239,0.4400208557057823,2015-05-29,2015-05,2015-04,-0.41167827853935535
4439,Bông,166.2329147200663,,712.0627967200663,8.975859819166715,2015-05-29,2015-05,2015-04,-5.107104173257255
4440,Sợi dệt,151.18058,,637.782192,3.5747213238467452,2015-05-29,2015-05,2015-04,-0.5390921052631654
4441,Vải,1000,,3965.0951919999998,6.151412275000638,2015-05-29,2015-05,2015-04,17.64705882352942
4442,"Nguyên PL dệt, may, giày dép",550,,2090.287057,12.769583081585537,2015-05-29,2015-05,2015-04,14.583333333333329
4443,Sắt thép,595.354623037605,,2907.7885900376054,-2.4620881436586615,2015-05-29,2015-05,2015-04,-2.639602358536493
4444,Kim loại thường khác,297.7970451785511,,1413.151894178551,4.989710931372812,2015-05-29,2015-05,2015-04,0.6071098576186245
4445,"Điện tử, máy tính và linh kiện",2000,,9355.519403999999,36.90912604653258,2015-05-29,2015-05,2015-04,2.564102564102555
4446,Điện thoại và linh kiện,850,,4296.67878,26.977657225930457,2015-05-29,2015-05,2015-04,-10.526315789473685
4447,"Máy móc thiết bị, dụng cụ PT khác",2400,,11491.217873,35.93933281701237,2015-05-29,2015-05,2015-04,-4.0
4448,Ô tô,587.212025664528,,2319.712068664528,94.39617160151926,2015-05-29,2015-05,2015-04,6.073383124969141
4449,Trong đó: Nguyên chiếc(*),337.21202566452797,,1216.780675664528,185.6653268061075,2015-05-29,2015-05,2015-04,14.858002601621223
4450,"Xe máy và linh kiện, phụ tùng",30,,142.41003899999998,-6.780732082045418,2015-05-29,2015-05,2015-04,0.0
