,Ngành,Total-Pre-Month,E-Total-M,E-MOM,YOY,Total-YTD,YTD-YOY,Date,Month,PreMonth,Total-M,MOM
2630,Điện thoại di động,82.4,17.4,-78.88349514563107,6.582458851567964,99.8,2.130052297897194,2018-06-29,2018-06,2018-05,99.6,20.873786407766985
2631,Tivi,4339.0,1139.5,-73.73818852270108,26.560000000000002,5478.5,17.00266926504075,2018-06-29,2018-06,2018-05,5337.0,23.00069140354921
2632,Ô tô,93.19999999999999,21.4,-77.03862660944206,14.02158819562014,114.6,3.260290595366371,2018-06-29,2018-06,2018-05,117.60000000000001,26.180257510729632
2633,Xe máy,1376.6,281.6,-79.54380357402295,8.079999999999998,1658.2,5.168799738556487,2018-06-29,2018-06,2018-05,1656.4,20.32543948859511
2634,Điện sản xuất,81.4,18.3,-77.51842751842752,9.869978510214494,99.7,10.295381237406048,2018-06-29,2018-06,2018-05,99.69999999999999,22.481572481572456
2635,Nước máy thương phẩm,1236.1999999999998,265.6,-78.51480342986571,6.739999999999995,1501.8,6.531724032342481,2018-06-29,2018-06,2018-05,1501.3,21.44475004044655
2636,Than đá (than sạch),13730.985679416479,3750.61432058352,-72.68503217357585,-0.45383605693092477,17481.6,3.682494653233846,2018-05-29,2018-05,2018-04,18441.7,34.307182532752535
2637,Dầu mỏ thô khai thác,4161.0,1022.9999999999999,-75.41456380677721,-13.305084745762713,5184.0,-10.249307479224385,2018-05-29,2018-05,2018-04,5201.0,24.99399182888729
2638,Khí đốt thiên nhiên dạng khí,3569.7,854.0,-76.07642098775807,-9.148936170212764,4423.7,0.9977168949771595,2018-05-29,2018-05,2018-04,4419.7,23.81152477799256
2639,Khí hoá lỏng (LPG),295.289,71.211,-75.88430317417851,10.224383882440208,366.5,8.708224738028477,2018-05-29,2018-05,2018-04,368.40000000000003,24.75913427184895
2640,Thuỷ hải sản chế biến,878.2897596259897,237.3102403740101,-72.98041588517825,11.090000000000003,1115.6,10.864177051678638,2018-05-29,2018-05,2018-04,1120.1,27.53194349857641
2641,Sữa tươi,468.44716101653194,139.85283898346805,-70.14543995101029,4.72999999999999,608.3,0.930641222051463,2018-05-29,2018-05,2018-04,599.8,28.04005444251854
2642,Sữa bột,48.657019009105554,13.342980990894446,-72.57747954432335,4.9199999999999875,62.0,13.591437212094576,2018-05-29,2018-05,2018-04,61.5,26.394919484259887
2643,Đường kính,1059.0540255023482,205.9459744976519,-80.55378011523405,64.28386788524486,1265.0,15.54693079457283,2018-05-29,2018-05,2018-04,1257.3,18.71915593764129
2644,Bột ngọt,97.0497125354795,24.9502874645205,-74.29122991436049,1.2219618742896898,122.0,1.0543352495955531,2018-05-29,2018-05,2018-04,121.50000000000001,25.19357020823938
2645,Thức ăn cho gia súc,4873.102694886078,1189.3973051139214,-75.59260742930584,6.749999999999986,6062.5,-0.048192054896773584,2018-05-29,2018-05,2018-04,6029.6,23.732258019671363
2646,Thức ăn cho thủy sản,1813.5620685748477,492.2379314251524,-72.85794955934605,11.659999999999997,2305.8,17.725064537143325,2018-05-29,2018-05,2018-04,2320.8999999999996,27.974666002131016
2647,Bia,1341.2646091751951,410.93539082480487,-69.36209395120716,7.295098973754548,1752.2,8.451022549736038,2018-05-29,2018-05,2018-04,1741.4,29.83269580719545
2648,Thuốc lá điếu,1816.973123190221,512.5268768097789,-71.79226977722765,0.6599999999999966,2329.5,2.4918390614423913,2018-05-29,2018-05,2018-04,2314.5,27.382181412580664
2649,Vải dệt từ sợi tự nhiên,176.4493128164801,45.25068718351988,-74.3548521321906,5.6299999999999955,221.7,6.418232468410693,2018-05-29,2018-05,2018-04,226.40000000000003,28.308802333207268
2650,Vải dệt từ sợi tổng hợp hoặc sợi nhân tạo,335.6580421343592,99.04195786564075,-70.49319681546744,21.799999999999997,434.7,25.02010971914352,2018-05-29,2018-05,2018-04,430.4,28.22573749855718
2651,Quần áo mặc thường,1479.541736012879,408.2582639871209,-72.40643815244377,16.24000000000001,1887.8,10.122256427939021,2018-05-29,2018-05,2018-04,1886.8,27.525973352033645
2652,"Giày, dép da",77.52892262696632,23.671077373033686,-69.46806872716641,2.1700000000000017,101.2,2.064751343275063,2018-05-29,2018-05,2018-04,101.4,30.78989951645579
2653,Phân U rê,799.301,190.799,-76.12926794786945,8.902295635894575,990.1,-1.6084600856239746,2018-05-29,2018-05,2018-04,997.1,24.746497251973906
2654,Phân hỗn hợp N.P.K,946.7056509671497,286.69434903285037,-69.71663275275003,7.109999999999999,1233.4,4.349389638598851,2018-05-29,2018-05,2018-04,1212.3000000000002,28.054585790369003
2655,Sơn hoá học,260.6810491277708,72.41895087222925,-72.21932660063308,9.200000000000003,333.1,3.9083442307582317,2018-05-29,2018-05,2018-04,333.29999999999995,27.857395508883172
2656,"Dầu gội đầu, dầu xả",21.3372946005445,4.4627053994555,-79.08495203819504,-20.709999999999994,25.8,-6.62418952999802,2018-05-29,2018-05,2018-04,26.735,25.29704679297889
2657,"Sữa tắm, sữa rửa mặt",11.2316706037501,2.8683293962499,-74.46213036828017,-11.930000000000007,14.1,-8.35436682132135,2018-05-29,2018-05,2018-04,14.2303,26.69798200143707
2658,Xi măng,28.23450530262489,8.265494697375111,-70.72555510081244,17.0,36.5,9.01426609610138,2018-05-29,2018-05,2018-04,36.5,29.274444899187557
2659,"Sắt, thép thô",4418.151436352946,1476.3485636470537,-66.58447350854647,44.29000000000002,5894.5,39.666787652118785,2018-05-29,2018-05,2018-04,5924.7,34.09907028652384
2660,Thép cán,1800.6584493643263,456.6415506356739,-74.64030167426372,1.5500000000000114,2257.3,3.094212809476062,2018-05-29,2018-05,2018-04,2296.9,27.558893848572907
2661,"Thép thanh, thép góc",2133.9289710098933,598.3710289901069,-71.95918715575033,26.52000000000001,2732.3,15.061916836946281,2018-05-29,2018-05,2018-04,2721.6,27.5393903439995
2662,Điện thoại di động,64.535267,17.464733000000003,-72.93769157257844,-0.40498410390202366,82.0,0.7643856045140893,2018-05-29,2018-05,2018-04,82.4,27.682124566091886
2663,Tivi,3327.4823637159134,925.2176362840863,-72.19466445944242,-1.7099999999999937,4252.7,12.44500696492328,2018-05-29,2018-05,2018-04,4339.0,30.398887979514058
2664,Ô tô,72.63020605079288,20.069793949207124,-72.36715267588309,9.164539944697196,92.7,0.6189775097201249,2018-05-29,2018-05,2018-04,93.19999999999999,28.321266133847843
2665,Xe máy,1095.0245349374343,273.5754650625657,-75.01649905239825,10.469999999999999,1368.6,3.977237155699072,2018-05-29,2018-05,2018-04,1376.6,25.714078185348967
2666,Điện sản xuất,63.295688000000006,18.104312,-71.39724273160598,11.308536737515865,81.4,10.49440863725566,2018-05-29,2018-05,2018-04,81.4,28.602757268394015
2667,Nước máy thương phẩm,977.663613782109,260.6363862178909,-73.34089327415855,7.25,1238.3,6.663944028891677,2018-05-29,2018-05,2018-04,1236.1999999999998,26.444308919070664
2668,Than đá (than sạch),10084.6,3606.0,-64.2425083791127,2.5229927228547666,13690.6,4.563747920951869,2018-04-27,2018-04,2018-03,13730.985679416479,36.15796044876819
2669,Dầu mỏ thô khai thác,3155.0,1009.0,-68.01901743264659,-11.800699300699307,4164.0,-9.39947780678851,2018-04-27,2018-04,2018-03,4161.0,31.885895404120447
2670,Khí đốt thiên nhiên dạng khí,2675.0,870.0,-67.47663551401868,-5.434782608695656,3545.0,3.052325581395337,2018-04-27,2018-04,2018-03,3569.7,33.446728971962614
2671,Khí hoá lỏng (LPG),223.4,65.9,-70.50134288272157,-6.416299872213543,289.3,6.180637658549145,2018-04-27,2018-04,2018-03,295.289,32.17949865711728
2672,Thuỷ hải sản chế biến,652.5999999999999,233.7,-64.18939626110941,15.689999999999998,886.3,11.8148088001778,2018-04-27,2018-04,2018-03,878.2897596259897,34.583168805698705
2673,Sữa tươi,334.40000000000003,132.7,-60.31698564593302,3.8999999999999915,467.1,-0.45284096674369323,2018-04-27,2018-04,2018-03,468.44716101653194,40.08587350972843
2674,Sữa bột,36.2,14.3,-60.49723756906077,10.75,50.5,20.67320781682011,2018-04-27,2018-04,2018-03,48.657019009105554,34.411654721286055
2675,Đường kính,802.1,264.4,-67.03652911108341,19.520664526792686,1066.5,10.017969587743366,2018-04-27,2018-04,2018-03,1059.0540255023482,32.03516089045607
2676,Bột ngọt,72.1,26.7,-62.96809986130374,7.271013177134947,98.8,2.8758440971237604,2018-04-27,2018-04,2018-03,97.0497125354795,34.6043169701519
2677,Thức ăn cho gia súc,3642.2,1216.2,-66.60809400911536,3.259999999999991,4858.4,-1.8739822528869752,2018-04-27,2018-04,2018-03,4873.102694886078,33.79558219993626
2678,Thức ăn cho thủy sản,1329.8000000000002,476.4,-64.17506391938639,22.469999999999985,1806.2,19.002062135925186,2018-04-27,2018-04,2018-03,1813.5620685748477,36.378558322668624
2679,Bia,984.1,369.1,-62.49364901940859,12.389325674045025,1353.2,9.780787982648008,2018-04-27,2018-04,2018-03,1341.2646091751951,36.29352801292504
2680,Thuốc lá điếu,1342.3,483.7,-63.964836474707596,-1.2399999999999949,1826.0,3.533344872224788,2018-04-27,2018-04,2018-03,1816.973123190221,35.362670281622684
2681,Vải dệt từ sợi tự nhiên,129.39999999999998,42.2,-67.38794435857804,-14.280000000000001,171.6,3.700499911894866,2018-04-27,2018-04,2018-03,176.4493128164801,36.35959259387954
2682,Vải dệt từ sợi tổng hợp hoặc sợi nhân tạo,238.70000000000002,97.4,-59.195643066610806,25.760000000000005,336.1,26.174937309724584,2018-04-27,2018-04,2018-03,335.6580421343592,40.61920491594438
2683,Quần áo mặc thường,1087.1,405.0,-62.744917670867444,15.450000000000003,1492.1,9.466884886911558,2018-04-27,2018-04,2018-03,1479.541736012879,36.099874529746955
2684,"Giày, dép da",56.3,23.3,-58.6145648312611,19.39,79.6,4.817778844258953,2018-04-27,2018-04,2018-03,77.52892262696632,37.70678974594375
2685,Phân U rê,570.3,229.3,-59.79309135542697,8.661454631603888,799.6,-3.7927404083673366,2018-04-27,2018-04,2018-03,799.301,40.15448009819394
2686,Phân hỗn hợp N.P.K,703.2,258.8,-63.196814562002274,9.280000000000001,962.0,5.210557906070321,2018-04-27,2018-04,2018-03,946.7056509671497,34.6282211272966
2687,Sơn hoá học,189.8,73.7,-61.16965226554268,9.959999999999994,263.5,3.651444006773488,2018-04-27,2018-04,2018-03,260.6810491277708,37.345125989341796
2688,"Dầu gội đầu, dầu xả",16.900000000000002,5.7,-66.27218934911244,-3.2399999999999807,22.6,2.776693665675964,2018-04-27,2018-04,2018-03,21.3372946005445,26.256181068310624
2689,"Sữa tắm, sữa rửa mặt",8.600000000000001,2.8,-67.44186046511629,2.960000000000008,11.4,-5.357670853332792,2018-04-27,2018-04,2018-03,11.2316706037501,30.600820973838353
2690,Xi măng,20.200000000000003,8.1,-59.90099009900991,4.890000000000001,28.3,7.181924337836421,2018-04-27,2018-04,2018-03,28.23450530262489,39.77477872586576
2691,"Sắt, thép thô",2989.6000000000004,1430.0,-52.167514048702174,4.890000000000001,4419.6,38.23362575188068,2018-04-27,2018-04,2018-03,4418.151436352946,47.784032524516505
2692,Thép cán,1353.4,451.6,-66.63218560662037,3.299999999999997,1805.0,3.7443363385606148,2018-04-27,2018-04,2018-03,1800.6584493643263,33.047025961602344
2693,"Thép thanh, thép góc",1532.6,573.4,-62.58645439123059,27.279999999999987,2106.0,10.743133752189536,2018-04-27,2018-04,2018-03,2133.9289710098933,39.23587178715212
2694,Điện thoại di động,47.800000000000004,17.4,-63.59832635983264,3.3089504441105504,65.2,2.6062392706114395,2018-04-27,2018-04,2018-03,64.535267,35.01101882845188
2695,Tivi,2472.1,867.0,-64.92860321184418,-3.280000000000001,3339.1,17.546288151930185,2018-04-27,2018-04,2018-03,3327.4823637159134,34.601446693738666
2696,Ô tô,54.6,18.4,-66.3003663003663,-8.311890959666073,73.0,-1.0596664442029606,2018-04-27,2018-04,2018-03,72.63020605079288,33.02235540438255
2697,Xe máy,825.3000000000001,282.1,-65.81849024597116,-0.7499999999999858,1107.4,3.630826852861844,2018-04-27,2018-04,2018-03,1095.0245349374343,32.681998659570354
2698,Điện sản xuất,46.2,17.0,-63.20346320346321,9.826002458240012,63.2,9.969668703657476,2018-04-27,2018-04,2018-03,63.295688000000006,37.00365367965367
2699,Nước máy thương phẩm,725.1,247.9,-65.81161219142187,5.570000000000007,973.0,6.004669351163145,2018-04-27,2018-04,2018-03,977.663613782109,34.83155616909514
2700,Than đá (than sạch),6216.4,3641.1,-41.427514316968015,0.6533834187950589,9857.5,2.9423826959940698,2018-03-29,2018-03,2018-02,10084.6,62.22572550028957
2701,Dầu mỏ thô khai thác,2100.0,1080.0,-48.57142857142858,-8.474576271186436,3180.0,-7.879490150637309,2018-03-29,2018-03,2018-02,3155.0,50.23809523809524
2702,Khí đốt thiên nhiên dạng khí,1730.0,980.0,-43.35260115606936,-2.4875621890547137,2710.0,7.539682539682531,2018-03-29,2018-03,2018-02,2675.0,54.624277456647405
2703,Khí hoá lỏng (LPG),151.5,72.9,-51.88118811881188,1.8931779850497605,224.4,11.07423884680469,2018-03-29,2018-03,2018-02,223.4,47.458745874587464
2704,Thuỷ hải sản chế biến,420.09999999999997,239.8,-42.91835277314924,18.849999999999994,659.9,11.718702622137172,2018-03-29,2018-03,2018-02,652.5999999999999,55.343965722447024
2705,Sữa tươi,211.0,129.2,-38.76777251184834,-0.0799999999999983,340.2,-0.3605477815151943,2018-03-29,2018-03,2018-02,334.40000000000003,58.48341232227489
2706,Sữa bột,22.6,14.1,-37.61061946902655,25.379999999999995,36.7,26.87075944222741,2018-03-29,2018-03,2018-02,36.2,60.17699115044249
2707,Đường kính,454.0,337.9,-25.572687224669608,8.462366237405504,791.9,5.838107125968662,2018-03-29,2018-03,2018-02,802.1,76.6740088105727
2708,Bột ngọt,47.0,23.0,-51.06382978723404,-10.652938494114935,70.0,-1.5254738997761734,2018-03-29,2018-03,2018-02,72.1,53.404255319148916
2709,Thức ăn cho gia súc,2467.2000000000003,1313.1,-46.77772373540857,2.299999999999997,3780.3,0.1836103731712342,2018-03-29,2018-03,2018-02,3642.2,47.62483787289233
2710,Thức ăn cho thủy sản,865.1000000000001,461.8,-46.618887989827776,19.320000000000007,1326.9,17.54367316057717,2018-03-29,2018-03,2018-02,1329.8000000000002,53.71633337186452
2711,Bia,650.0,345.9,-46.78461538461539,13.380719321210393,995.9,10.137848750961822,2018-03-29,2018-03,2018-02,984.1,51.400000000000006
2712,Thuốc lá điếu,833.0000000000001,459.4,-44.8499399759904,1.6599999999999966,1292.4,1.452160545526155,2018-03-29,2018-03,2018-02,1342.3,61.140456182472974
2713,Vải dệt từ sợi tự nhiên,79.69999999999999,51.5,-35.38268506900877,11.269999999999996,131.2,12.878083784777814,2018-03-29,2018-03,2018-02,129.39999999999998,62.35884567126723
2714,Vải dệt từ sợi tổng hợp hoặc sợi nhân tạo,145.4,96.1,-33.906464924346636,22.13000000000001,241.5,27.845334107784353,2018-03-29,2018-03,2018-02,238.70000000000002,64.16781292984871
2715,Quần áo mặc thường,700.3000000000001,401.6,-42.65314865057832,13.63000000000001,1101.9,8.858607379826267,2018-03-29,2018-03,2018-02,1087.1,55.23347136941308
2716,"Giày, dép da",36.5,18.7,-48.76712328767123,1.289999999999992,55.2,-2.1250305520666046,2018-03-29,2018-03,2018-02,56.3,54.246575342465746
2717,Phân U rê,364.09999999999997,233.3,-35.92419664927216,0.9395438972903776,597.4,-3.6472626765449263,2018-03-29,2018-03,2018-02,570.3,56.632793188684445
2718,Phân hỗn hợp N.P.K,456.5,247.1,-45.87075575027383,4.030000000000001,703.6,3.8445439522623275,2018-03-29,2018-03,2018-02,703.2,54.04162102957284
2719,Sơn hoá học,118.89999999999999,69.2,-41.79983179142136,-1.920000000000016,188.1,0.49601343246807517,2018-03-29,2018-03,2018-02,189.8,59.629941126997494
2720,"Dầu gội đầu, dầu xả",11.219299999999999,4.7985,-57.22995195778702,-0.5999999999999943,16.017799999999998,-0.9025619955303483,2018-03-29,2018-03,2018-02,16.900000000000002,50.63328371645292
2721,"Sữa tắm, sữa rửa mặt",6.007,2.6364,-56.111203595804895,-9.200000000000003,8.6434,-8.161206976620221,2018-03-29,2018-03,2018-02,8.600000000000001,43.166305976360945
2722,Xi măng,12.6,7.4,-41.269841269841265,1.6799999999999926,20.0,7.38856742087664,2018-03-29,2018-03,2018-02,20.200000000000003,60.31746031746036
2723,"Sắt, thép thô",1584.0,932.4,-41.13636363636364,40.43000000000001,2516.4,37.21391064582261,2018-03-29,2018-03,2018-02,2989.6000000000004,88.73737373737376
2724,Thép cán,921.9000000000001,468.3,-49.202733485193626,3.430000000000007,1390.2,6.714044462893781,2018-03-29,2018-03,2018-02,1353.4,46.80551035904111
2725,"Thép thanh, thép góc",972.9,548.9,-43.5810463562545,0.9300000000000068,1521.8,4.864026027389173,2018-03-29,2018-03,2018-02,1532.6,57.529036899989705
2726,Điện thoại di động,31.1,14.9,-52.09003215434084,-13.128488268397604,46.0,-1.4405262377543835,2018-03-29,2018-03,2018-02,47.800000000000004,53.69774919614147
2727,Tivi,1583.1999999999998,772.4,-51.21273370389085,-4.6299999999999955,2355.6,21.15455669866489,2018-03-29,2018-03,2018-02,2472.1,56.1457806973219
2728,Ô tô,36.0,22.6,-37.22222222222222,10.462704007215578,58.6,9.176188170743103,2018-03-29,2018-03,2018-02,54.6,51.66666666666666
2729,Xe máy,558.1999999999999,275.6,-50.62701540666426,8.129999999999995,833.8,6.3139945706108875,2018-03-29,2018-03,2018-02,825.3000000000001,47.850232891436804
